task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
1	e4/48c69e	8328709	fastqc (429-MR43_GTGAAA_L007)	COMPLETED	0	2017-04-03 13:33:43.268	12m 35s	12m 8s	100.0%	274.1 MB	1.3 GB	7.6 GB	1.3 MB
2	dc/f32af1	8328716	fastqc (417-MR40_GTGAAA_L006)	COMPLETED	0	2017-04-03 13:33:43.996	15m 54s	15m 6s	100.0%	284 MB	1.3 GB	6.2 GB	1.6 MB
4	9c/4736b2	8328713	fastqc (480-MR144_GCCAAT_L003)	COMPLETED	0	2017-04-03 13:33:43.666	19m 54s	18m 40s	100.0%	291.2 MB	1.3 GB	7.8 GB	2.4 MB
6	84/2e7a26	8328715	fastqc (496-MR151_GTGAAA_L004)	COMPLETED	0	2017-04-03 13:33:43.891	23m 59s	22m 59s	100.0%	270.6 MB	1.3 GB	9.9 GB	1.3 MB
3	61/0e3131	8328711	fastqc (467-MR49_ACAGTG_L005)	COMPLETED	0	2017-04-03 13:33:43.472	24m 4s	23m 35s	127.0%	290.1 MB	1.3 GB	8.3 GB	1.3 MB
8	e2/3a72da	8328707	trim_galore (467-MR49_ACAGTG_L005)	COMPLETED	0	2017-04-03 13:33:43.057	1h 30m 48s	1h 30m 8s	215.8%	17.6 MB	131.5 MB	118.8 GB	102.6 GB
7	5a/a1de44	8328712	trim_galore (417-MR40_GTGAAA_L006)	COMPLETED	0	2017-04-03 13:33:43.563	1h 45m 28s	1h 45m 1s	217.7%	17.6 MB	131.5 MB	90.9 GB	78.4 GB
10	69/a639c4	8328708	trim_galore (496-MR151_GTGAAA_L004)	COMPLETED	0	2017-04-03 13:33:43.165	1h 46m 53s	1h 46m 28s	259.5%	17.6 MB	131.5 MB	140.9 GB	122 GB
9	a2/628b80	8328714	trim_galore (480-MR144_GCCAAT_L003)	COMPLETED	0	2017-04-03 13:33:43.786	1h 52m 43s	1h 51m 57s	226.2%	17.6 MB	131.5 MB	111.5 GB	96.6 GB
5	61/b6603d	8328710	trim_galore (429-MR43_GTGAAA_L007)	COMPLETED	0	2017-04-03 13:33:43.365	2h 9m 9s	2h 7m 54s	218.3%	17.6 MB	131.5 MB	110.4 GB	95.4 GB
12	26/5fe07d	8330667	star (417-MR40_GTGAAA_L006)	COMPLETED	0	2017-04-03 15:19:50.307	1h 55m 45s	1h 54m 36s	100.7%	36.5 GB	37.9 GB	95.9 GB	34.7 GB
17	dd/6185d3	8332016	stringtieFPKM (417-MR40_GTGAAA_L006)	COMPLETED	0	2017-04-03 17:15:35.357	6m 9s	4m 51s	109.0%	539.4 MB	607.1 MB	6.2 GB	557.8 MB
11	1b/ccab60	8330614	star (467-MR49_ACAGTG_L005)	COMPLETED	0	2017-04-03 15:05:22.042	2h 31m 57s	2h 31m 32s	109.1%	36.7 GB	38.2 GB	116.9 GB	45.3 GB
16	08/4036fb	8332017	rseqc (417-MR40_GTGAAA_L006)	COMPLETED	0	2017-04-03 17:15:38.596	23m 47s	22m 39s	99.4%	662 MB	882 MB	10.4 GB	5 MB
18	1c/d86bc6	8332063	stringtieFPKM (467-MR49_ACAGTG_L005)	COMPLETED	0	2017-04-03 17:37:19.560	9m 17s	8m 13s	106.0%	565.2 MB	627.6 MB	7.9 GB	558.6 MB
19	e4/7cff64	8332064	rseqc (467-MR49_ACAGTG_L005)	COMPLETED	0	2017-04-03 17:37:20.460	16m 46s	16m 12s	99.8%	648.8 MB	868.5 MB	13.8 GB	8 MB
14	c7/a1930c	8330677	star (480-MR144_GCCAAT_L003)	COMPLETED	0	2017-04-03 15:27:18.881	2h 31m 42s	2h 30m 41s	118.8%	35.9 GB	36.7 GB	77.1 GB	21.6 GB
21	7e/604c3e	8332201	stringtieFPKM (480-MR144_GCCAAT_L003)	COMPLETED	0	2017-04-03 17:59:01.294	1m 20s	46s	105.0%	414.8 MB	515.8 MB	1 GB	410.1 MB
20	fa/9349ac	8332202	rseqc (480-MR144_GCCAAT_L003)	COMPLETED	0	2017-04-03 17:59:02.045	1m 19s	49.3s	96.5%	691.4 MB	911.4 MB	175.9 MB	7.6 KB
13	47/d390a7	8330669	star (496-MR151_GTGAAA_L004)	COMPLETED	0	2017-04-03 15:21:36.264	3h 25s	2h 59m 58s	118.0%	37.3 GB	39.4 GB	134.4 GB	53.5 GB
22	73/43fbdf	8332516	stringtieFPKM (496-MR151_GTGAAA_L004)	COMPLETED	0	2017-04-03 18:22:01.420	8m 2s	7m 24s	109.0%	522.9 MB	592.7 MB	9.7 GB	535.7 MB
23	51/b3c64b	8332517	rseqc (496-MR151_GTGAAA_L004)	COMPLETED	0	2017-04-03 18:22:04.673	19m 13s	18m 14s	106.0%	701.3 MB	951.6 MB	17.3 GB	22.1 MB
15	d9/e1421c	8331167	star (429-MR43_GTGAAA_L007)	COMPLETED	0	2017-04-03 15:43:38.308	4h 9m 5s	4h 8m 31s	126.2%	36.8 GB	38.5 GB	110.7 GB	42.1 GB
25	1c/1ecfbe	8333567	stringtieFPKM (429-MR43_GTGAAA_L007)	COMPLETED	0	2017-04-03 19:52:43.126	6m 15s	5m 57s	111.0%	531.1 MB	601.1 MB	7.5 GB	560.7 MB
24	b6/c67758	8333568	rseqc (429-MR43_GTGAAA_L007)	COMPLETED	0	2017-04-03 19:52:44.679	15m 33s	15m 13s	99.7%	691.4 MB	911.4 MB	12.9 GB	25.7 MB
26	d1/0580ff	8333580	multiqc (1)	COMPLETED	0	2017-04-03 20:08:20.102	3m 8s	2m 8s	103.0%	73.1 MB	282.9 MB	2.2 GB	382.4 KB
